entry,at,order
"""Ayush @ _e74w1sbtZ"" shows a 10♠, 5♠.",2020-10-01T07:05:00.809Z,160153590080900
"-- ending hand #213 --",2020-10-01T07:04:59.657Z,160153589965802
"""Jamz @ Xg6uSZZOvr"" collected 905 from pot with Straight, 7 High (combination: 7♠, 6♥, 5♥, 4♠, 3♣)",2020-10-01T07:04:59.657Z,160153589965801
"""Jamz @ Xg6uSZZOvr"" shows a 5♥, A♣.",2020-10-01T07:04:59.657Z,160153589965800
"""meesh @ He9325iWeJ"" calls 300",2020-10-01T07:04:58.849Z,160153589884900
"""Jamz @ Xg6uSZZOvr"" raises to 300",2020-10-01T07:04:54.766Z,160153589476700
"""meesh @ He9325iWeJ"" bets 150",2020-10-01T07:04:52.572Z,160153589257300
"river: K♥, 4♠, 3♣, 6♥ [7♠]",2020-10-01T07:04:48.384Z,160153588838900
"""Jamz @ Xg6uSZZOvr"" checks",2020-10-01T07:04:47.579Z,160153588758000
"""meesh @ He9325iWeJ"" checks",2020-10-01T07:04:42.297Z,160153588229800
"turn: K♥, 4♠, 3♣ [6♥]",2020-10-01T07:04:38.153Z,160153587815500
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T07:04:37.349Z,160153587735000
"""Steven @ GWM99dqAoi"" folds",2020-10-01T07:04:19.230Z,160153585923100
"""Jamz @ Xg6uSZZOvr"" calls 70",2020-10-01T07:04:13.178Z,160153585317900
"""meesh @ He9325iWeJ"" bets 70",2020-10-01T07:04:02.492Z,160153584249300
"flop:  [K♥, 4♠, 3♣]",2020-10-01T07:03:54.670Z,160153583467100
"""meesh @ He9325iWeJ"" calls 40",2020-10-01T07:03:53.864Z,160153583386400
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T07:03:51.297Z,160153583129800
"""Ayush @ _e74w1sbtZ"" calls 40",2020-10-01T07:03:50.387Z,160153583038700
"""Steven @ GWM99dqAoi"" calls 40",2020-10-01T07:03:37.732Z,160153581773300
"""Jamz @ Xg6uSZZOvr"" raises to 40",2020-10-01T07:03:35.758Z,160153581575900
"""meesh @ He9325iWeJ"" posts a big blind of 10",2020-10-01T07:03:30.999Z,160153581100108
"""Justin @ _g_OqsZX-M"" posts a small blind of 5",2020-10-01T07:03:30.999Z,160153581100107
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (6708) | #5 ""Steven @ GWM99dqAoi"" (4449) | #6 ""Ayush @ _e74w1sbtZ"" (2186) | #7 ""Justin @ _g_OqsZX-M"" (10266) | #9 ""meesh @ He9325iWeJ"" (3625)",2020-10-01T07:03:30.999Z,160153581100101
"-- starting hand #213  (No Limit Texas Hold'em) (dealer: ""Ayush @ _e74w1sbtZ"") --",2020-10-01T07:03:30.999Z,160153581100100
"""Justin @ _g_OqsZX-M"" shows a K♠, A♦.",2020-10-01T07:03:28.809Z,160153580881200
"-- ending hand #212 --",2020-10-01T07:03:27.375Z,160153580737602
"""Justin @ _g_OqsZX-M"" collected 70 from pot",2020-10-01T07:03:27.375Z,160153580737601
"Uncalled bet of 35 returned to ""Justin @ _g_OqsZX-M""",2020-10-01T07:03:27.375Z,160153580737600
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T07:03:26.568Z,160153580656900
"""Justin @ _g_OqsZX-M"" bets 35",2020-10-01T07:03:19.226Z,160153579922700
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T07:03:12.693Z,160153579269400
"flop:  [2♠, 5♦, J♦]",2020-10-01T07:03:09.905Z,160153578990600
"""Ayush @ _e74w1sbtZ"" calls 30",2020-10-01T07:03:09.101Z,160153578910200
"""Steven @ GWM99dqAoi"" folds",2020-10-01T07:02:50.991Z,160153577099200
"""Justin @ _g_OqsZX-M"" raises to 30",2020-10-01T07:02:33.791Z,160153575379200
"""Ayush @ _e74w1sbtZ"" calls 10",2020-10-01T07:02:25.990Z,160153574599100
"""Steven @ GWM99dqAoi"" calls 10",2020-10-01T07:02:17.274Z,160153573727500
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T07:01:58.309Z,160153571831000
"""meesh @ He9325iWeJ"" folds",2020-10-01T07:01:55.112Z,160153571511300
"""Justin @ _g_OqsZX-M"" posts a big blind of 10",2020-10-01T07:01:52.616Z,160153571262009
"""Ayush @ _e74w1sbtZ"" posts a small blind of 5",2020-10-01T07:01:52.616Z,160153571262008
"Player stacks: #3 ""Jamz @ Xg6uSZZOvr"" (6708) | #5 ""Steven @ GWM99dqAoi"" (4459) | #6 ""Ayush @ _e74w1sbtZ"" (2216) | #7 ""Justin @ _g_OqsZX-M"" (10226) | #9 ""meesh @ He9325iWeJ"" (3625)",2020-10-01T07:01:52.616Z,160153571262002
"-- starting hand #212  (No Limit Texas Hold'em) (dealer: ""Steven @ GWM99dqAoi"") --",2020-10-01T07:01:52.616Z,160153571262001
"The player ""AAron @ SgIZePqJyI"" quits the game with a stack of 0.",2020-10-01T07:01:52.616Z,160153571262000
"""Ayush @ _e74w1sbtZ"" shows a 4♦, Q♥.",2020-10-01T07:01:47.852Z,160153570785300
"-- ending hand #211 --",2020-10-01T07:01:46.091Z,160153570609301
"""Jamz @ Xg6uSZZOvr"" collected 2960 from pot with Straight, 6 High (combination: 6♣, 5♣, 4♥, 3♣, 2♦)",2020-10-01T07:01:46.091Z,160153570609300
"river: 2♦, 6♣, 5♣, 9♦ [3♠]",2020-10-01T07:01:43.079Z,160153570308300
"""AAron @ SgIZePqJyI"" shows a 10♠, 6♠.",2020-10-01T07:01:40.068Z,160153570006902
"""Jamz @ Xg6uSZZOvr"" shows a 3♣, 4♥.",2020-10-01T07:01:40.068Z,160153570006901
"Uncalled bet of 520 returned to ""Jamz @ Xg6uSZZOvr""",2020-10-01T07:01:40.068Z,160153570006900
"""AAron @ SgIZePqJyI"" calls 1080 and go all in",2020-10-01T07:01:39.261Z,160153569926200
"""Jamz @ Xg6uSZZOvr"" raises to 1600",2020-10-01T07:01:37.501Z,160153569750200
"""AAron @ SgIZePqJyI"" bets 800",2020-10-01T07:01:34.456Z,160153569445700
"turn: 2♦, 6♣, 5♣ [9♦]",2020-10-01T07:01:18.874Z,160153567887600
"""AAron @ SgIZePqJyI"" calls 320",2020-10-01T07:01:18.069Z,160153567806900
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T07:00:42.428Z,160153564242900
"""Steven @ GWM99dqAoi"" folds",2020-10-01T07:00:41.481Z,160153564148200
"""Jamz @ Xg6uSZZOvr"" raises to 320",2020-10-01T07:00:37.310Z,160153563731100
"""AAron @ SgIZePqJyI"" bets 160",2020-10-01T07:00:34.262Z,160153563426300
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T07:00:32.174Z,160153563217500
"""Steven @ GWM99dqAoi"" checks",2020-10-01T07:00:29.431Z,160153562943200
"flop:  [2♦, 6♣, 5♣]",2020-10-01T07:00:24.883Z,160153562488400
"""AAron @ SgIZePqJyI"" calls 40",2020-10-01T07:00:24.078Z,160153562407900
"""Ayush @ _e74w1sbtZ"" calls 40",2020-10-01T07:00:22.639Z,160153562264000
"""Steven @ GWM99dqAoi"" calls 40",2020-10-01T07:00:03.744Z,160153560374500
"""Jamz @ Xg6uSZZOvr"" raises to 40",2020-10-01T06:59:46.045Z,160153558604500
"""meesh @ He9325iWeJ"" folds",2020-10-01T06:59:42.564Z,160153558256500
"""AAron @ SgIZePqJyI"" calls 10",2020-10-01T06:59:40.910Z,160153558091100
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T06:59:38.399Z,160153557840300
"""Ayush @ _e74w1sbtZ"" posts a big blind of 10",2020-10-01T06:59:36.052Z,160153557605309
"""Steven @ GWM99dqAoi"" posts a small blind of 5",2020-10-01T06:59:36.052Z,160153557605308
"Your hand is 10♠, 6♠",2020-10-01T06:59:36.052Z,160153557605306
